key,doi,openalex_status,openalex,pmid,pmcid,mag,oa_type,issn_l,s2_status,s2_corpus,s2_arxiv,s2_pmid,s2_pmcid,s2_mag,s2_dblp,s2_acl,cr_status,cr_type,cr_isbn,cr_issn,cr_alt_id,cr_relation_types,cr_has_link
Guo_2018_redeveloping-urban-forest-effect,10.1016/j.ufug.2018.08.012,200,W2889352645,,,2889352645,article,1610-8167,200,91254499,,,,2889352645,,,200,journal-article,,1618-8667,S1618866718303881,,1
Guo_2019_city-wide-canopy-cover,10.1016/j.scitotenv.2019.05.122,200,W2944163601,31103658,,2944163601,article,0048-9697,200,159038560,,31103658,,2944163601,,,200,journal-article,,0048-9697,S0048969719321473,,1
Guo_2023_nationwide-urban-tree-canopy,10.1016/j.isprsjprs.2023.02.007,200,W4322730580,,,,article,0924-2716,200,257289576,,,,,,,200,journal-article,,0924-2716,S0924271623000461,,1
Guo_2024_monitoring-tree-canopy-dynamics,10.1016/j.jenvman.2024.120542,200,W4392879500,38492424,,,article,0301-4797,200,268498315,,38492424,,,,,200,journal-article,,0301-4797,S0301479724005280,,1
Guo_2024_tracking-photosynthetic-phenology-spectral,10.1016/j.agrformet.2023.109809,200,W4388602843,,,,article,0168-1923,200,279420624,,,,,,,200,journal-article,,0168-1923,S0168192323004999,,1
GutierrezVelez_2024_mapping-forest-cover-change,10.1080/15481603.2024.2427305,200,W4404713076,,,,article,1548-1603,200,274322302,,,,,,,200,journal-article,,1548-1603;1943-7226,10.1080/15481603.2024.2427305,,1
Hall_1985_resampling-coverage-pattern,10.1016/0304-4149(85)90212-1,200,W2007093655,,,2007093655,article,0304-4149,200,120221435,,,,2007093655,,,200,journal-article,,0304-4149,0304414985902121,,1
Hamraz_2017_forest-understory-trees-can,10.1038/s41598-017-07200-0,200,W2739012777,28754898,,2739012777,article,2045-2322,200,205582147,1702.06188,28754898,5533762,2739012777,,,200,journal-article,,2045-2322,7200,,1
Hao_2023_co-effect-image-resolution,10.1080/17538947.2023.2257636,200,W4386819899,,,,article,1753-8947,200,262205485,,,,,journals/digearth/HaoLPMYFL23,,200,journal-article,,1753-8947;1753-8955,10.1080/17538947.2023.2257636,,1
Hasegawa_2019_probability-deriving-yearly-transition,10.3390/su11226355,200,W2986926114,,,2986926114,article,2071-1050,200,211413712,,,,2986926114,,,200,journal-article,,2071-1050,su11226355,,1
Hauer_1994_street-tree-decline-construction,10.48044/jauf.1994.017,200,W4298140576,,,,article,1935-5297,200,5107679,,,,,,,200,journal-article,,1935-5297;2155-0778,,,1
Hawkes_1971_spectra-some-self-exciting,10.1093/biomet/58.1.83,200,W2069849731,,,2069849731,article,0006-3444,200,14122089,,,,2069849731,,,200,journal-article,,0006-3444;1464-3510,,,1
He_2024_time-series-land-cover,10.1016/j.rse.2024.114101,200,W4392806026,,,,article,0034-4257,200,268476058,,,,,,,200,journal-article,,0034-4257,S0034425724001123,,1
He_2025_samois-efficient-fine-tuned,10.1080/22797254.2025.2609404,200,W7117703024,,,,article,2279-7254,200,284385046,,,,,,,200,journal-article,,2279-7254,10.1080/22797254.2025.2609404,,1
Healy_2022_historical-urban-tree-canopy,10.1007/s00267-022-01614-x,200,W4221099649,35258643,,,article,0364-152X,200,247254740,,35258643,,,,,200,journal-article,,0364-152X;1432-1009,1614,,1
Hecht_2015_automatic-identification-building-types,10.1080/23729333.2015.1055644,200,W1550862748,,,1550862748,article,2372-9333,200,129545928,,,,1550862748,,,200,journal-article,,2372-9333;2372-9341,10.1080/23729333.2015.1055644,,1
Henrich_2024_general-deep-learning-based,10.48550/arxiv.2405.02061,200,W4396781815,,,,preprint,2331-8422,200,269588124,2405.02061,,,,journals/corr/abs-2405-02061,,404,,,,,,
Herzog_2007_string-comparator-metrics-typographical,10.1007/0-387-69505-2_13,200,W8166080,,,8166080,book-chapter,,504,,,,,,,,200,book-chapter,9780387695020,,,,1
Hessel_2020_relative-radiometric-normalization-several,10.5194/isprs-annals-v-2-2020-845-2020,200,W3047059211,,,3047059211,article,2194-9042,200,225376199,,,,3047059211,,,200,journal-article,,2194-9050,,,1
Hickey_2002_experiments-ifla-functional-requirements,10.1045/september2002-hickey,200,W1996028407,,,1996028407,article,1082-9873,200,26820921,,,,1996028407,journals/dlib/HickeyOT02,,200,journal-article,,1082-9873,,,
Hickey_2014_managing-ambiguity-viaf,10.1045/july2014-hickey,200,W2054821150,,,2054821150,article,1082-9873,200,42821666,,,,2054821150,journals/dlib/HickeyT14,,200,journal-article,,1082-9873,,,
Higham_2011_pth-roots-stochastic-matrices,10.1016/j.laa.2010.04.007,200,W2118918399,,,2118918399,article,0024-3795,200,9525627,,,,2118918399,,,200,journal-article,,0024-3795,S0024379510001849,,1
Hilbert_2019_urban-tree-mortality-literature,10.48044/jauf.2019.015,200,W4238175962,,,,article,1935-5297,404,,,,,,,,200,journal-article,,1935-5297;2155-0778,,,
Hoberg_2012_context-models-crf-based,10.5194/isprsannals-i-7-129-2012,200,W2114428692,,,2114428692,article,2194-9042,200,10304118,,,,2114428692,,,200,journal-article,,2194-9050,,,1
Hoberg_2015_conditional-random-fields-multitemporal,10.1109/tgrs.2014.2326886,200,W2060276164,,,2060276164,article,0196-2892,200,25352834,,,,2060276164,journals/tgrs/HobergRFH15,,200,journal-article,,0196-2892;1558-0644,,,1
Hood_2018_fire-tree-death-understanding,10.1088/1748-9326/aae934,200,W2901150385,,,2901150385,article,1748-9326,200,158263119,,,,2901150385,,,200,journal-article,,1748-9326,,,1
Howard_2018_universal-language-model-fine,10.18653/v1/p18-1031,200,W2798812533,,,2798812533,conference-paper,,200,40100965,,,,2952772027,conf/acl/RuderH18,P18-1031,200,proceedings-article,,,,,
Huang_2026_ladder-side-tuning-visual,10.3390/rs18050819,200,W7134125513,,,,article,2072-4292,200,286370337,,,,,,,200,journal-article,,2072-4292,rs18050819,,1
Hudson_1978_natural-identity-exponential-families,10.1214/aos/1176344194,200,W2060619704,,,2060619704,article,0090-5364,200,121362728,,,,2060619704,,,200,journal-article,,0090-5364,,,1
Hughes_1999_non-homogeneous-hidden-markov,10.1111/1467-9876.00136,200,W2030520626,,,2030520626,article,0035-9254,200,17479493,,,,2030520626,,,200,journal-article,,0035-9254;1467-9876,,,1
Hughes_2011_autologistic-models-binary-data,10.1002/env.1102,200,W1974651983,,,1974651983,article,1099-095X,200,2526338,,,,1974651983,,,200,journal-article,,1180-4009;1099-095X,10.1002/env.1102,,1
Hughes_2014_ngspatial-package-fitting-centered,10.32614/rj-2014-026,200,W2182992907,,,2182992907,article,2073-4859,200,56023731,,,,2182992907,journals/rjour/Hughes14,,200,journal-article,,2073-4859,10.32614/RJ-2014-026,,
Hui_1980_estimating-error-rates-diagnostic,10.2307/2530508,200,W2093268197,7370371,,2093268197,article,0006-341X,200,27705926,,7370371,,2093268197,,,200,journal-article,,0006-341X,,,
Hwang_1982_improving-upon-standard-estimators,10.1214/aos/1176345876,200,W2056501810,,,2056501810,article,0090-5364,200,121356874,,,,2056501810,,,200,journal-article,,0090-5364,,,1
Hwang_2020_geospatial-methods-tree-canopy,10.48044/jauf.2020.005,200,W3003997366,,,3003997366,article,1935-5297,200,212890893,,,,3003525699,,,200,journal-article,,1935-5297;2155-0778,,,
Iizuka_2024_frequency-based-optimal-style,10.1109/tgrs.2023.3344670,200,W4389890872,,,,article,0196-2892,200,266385293,,,,,journals/tgrs/IizukaXY24,,200,journal-article,,0196-2892;1558-0644,,,1
Islam_2026_high-resolution-multi-temporal,10.1016/j.srs.2026.100488,200,W7196930881,,,,article,2666-0172,200,290946788,,,,,,,200,journal-article,,2666-0172,S2666017226001264,,1
Israel_2001_finding-generators-markov-chains,10.1111/1467-9965.00114,200,W2148474709,,,2148474709,article,0960-1627,200,6492575,,,,2148474709,,,200,journal-article,,0960-1627;1467-9965,10.1111/1467-9965.00114,,1
Itkin_2026_quickest-detection-hallucination-onset,10.48550/arxiv.2606.12476,200,W7164507919,,,,preprint,2331-8422,200,289186805,2606.12476,,,,journals/corr/abs-2606-12476,,404,,,,,,
Jackson_2001_hidden-markov-models-onset,10.1002/sim.886,200,W2167587606,11782054,,2167587606,article,0277-6715,200,28482653,,11782054,,2167587606,,,200,journal-article,,0277-6715;1097-0258,10.1002/sim.886,,1
Jackson_2011_multi-state-models-panel,10.18637/jss.v038.i08,200,W1919480245,,,1919480245,article,1548-7660,200,60754351,,,,1919480245,,,200,journal-article,,1548-7660,10.18637/jss.v038.i08,,
Jaffe_2014_estimating-accuracies-multiple-classifiers,10.48550/arxiv.1407.7644,200,W2146156326,,,2146156326,preprint,2331-8422,404,,,,,,,,404,,,,,,
Ji_2025_reliable-land-cover-mapping,10.1016/j.earscirev.2025.105070,200,W4407762751,,,,article,0012-8252,200,276530571,,,,,,,200,journal-article,,0012-8252,S0012825225000315,,1
Kaiser_2012_goodness-fit-tests-class,10.1214/11-aos948,200,W2042128914,,,2042128914,article,0090-5364,200,88518768,1205.6086,,,2042128914,,,200,journal-article,,0090-5364,,,1
Kaiser_2017_learning-aerial-image-segmentation,10.1109/tgrs.2017.2719738,200,W2737129951,,,2737129951,article,0196-2892,200,9651930,1707.06879,,,2737129951,journals/corr/KaiserWLJHS17,,200,journal-article,,0196-2892;1558-0644,,,1
Kalbfleisch_1985_analysis-panel-data-markov,10.1080/01621459.1985.10478195,200,W2089698443,,,2089698443,article,0162-1459,200,122545511,,,,2089698443,,,200,journal-article,,0162-1459;1537-274X,10.1080/01621459.1985.10478195,,1
Kats_2019_soft-labeling-distilling-anatomical,10.1109/isbi.2019.8759518,200,W2913768941,,,2913768941,conference-paper,,200,59316682,1901.09263,,,2958990250,journals/corr/abs-1901-09263,,200,proceedings-article,,,,,1
Kats_2019_soft-staple-algorithm-combined,10.1007/978-3-030-32248-9_57,200,W2979338721,,,2979338721,conference-paper,0302-9743,200,204026979,1910.12077,,,2979338721,conf/miccai/KatsGG19,,200,book-chapter,9783030322472;9783030322489,0302-9743;1611-3349,,,1
Ke_2011_review-methods-automatic-individual,10.1080/01431161.2010.494184,200,W1990503995,,,1990503995,article,0143-1161,200,14206249,,,,1990503995,,,200,journal-article,,0143-1161;1366-5901,10.1080/01431161.2010.494184,,1
Keddie_2023_estimating-sensitivity-specificity-diagnostic,10.1186/s12874-023-01873-0,200,W4323808230,36894883,,,article,1471-2288,200,257428691,,36894883,9999546,,,,200,journal-article,,1471-2288,1873,,1
Kelejian_2007_hac-estimation-spatial-framework,10.1016/j.jeconom.2006.09.005,200,W2032837167,,,2032837167,article,0304-4076,200,6598346,,,,2032837167,,,200,journal-article,,0304-4076,S0304407606002260,,1
Kennedy_2010_detecting-trends-forest-disturbance,10.1016/j.rse.2010.07.008,200,W2140908571,,,2140908571,article,0034-4257,200,1171161,,,,2140908571,,,200,journal-article,,0034-4257,S0034425710002245,,1
Khan_2025_deeptrees-tree-crown-segmentation,10.21105/joss.08056,200,W4415352946,,,,article,2475-9066,200,282262766,,,,,,,200,journal-article,,2475-9066,10.21105/joss.08056,has-review;references,1
Khoee_2024_domain-generalization-through-meta,10.1007/s10462-024-10922-z,200,W4402378055,,,,article,0269-2821,200,268875931,2404.02785,,,,journals/corr/abs-2404-02785,,200,journal-article,,1573-7462,10922,,1
King_2013_comparison-three-methods-measuring,10.48044/jauf.2013.009,200,W1488536938,,,1488536938,article,1935-5297,200,140616877,,,,1488536938,,,200,journal-article,,1935-5297;2155-0778,,,1
Kingman_1962_imbedding-problem-finite-markov,10.1007/bf00531768,200,W1988512425,,,1988512425,article,0178-8051,200,120321200,,,,1988512425,,,200,journal-article,,0044-3719;1432-2064,BF00531768,,1
Kokubu_2020_mapping-seasonal-tree-canopy,10.3390/rs12091505,200,W3025327333,,,3025327333,article,2072-4292,200,218688172,,,,3025327333,journals/remotesensing/KokubuHT20,,200,journal-article,,2072-4292,rs12091505,,1
Kolmogorov_2004_what-energy-functions-can,10.1109/tpami.2004.1262177,200,W2101309634,15376891,,2101309634,article,0162-8828,404,,,,,,,,200,journal-article,,0162-8828,,,1
Kolmogorov_2005_what-metrics-can-approximated,10.1109/iccv.2005.252,200,W2106569125,,,2106569125,conference-paper,,200,2260146,,,,2106569125,conf/iccv/KolmogorovB05,,200,proceedings-article,,,,,1
Konda_2016_magellan-work,10.14778/2994509.2994535,200,W2542998387,,,2542998387,article,2150-8097,200,763758,,,,2542998387,journals/sigmod/KondaDCMABGLPZN18,,200,journal-article,,2150-8097,10.14778/2994509.2994535,,1
Kopcke_2010_evaluation-entity-resolution-approaches,10.14778/1920841.1920904,200,W1981590391,,,1981590391,article,2150-8097,200,15245020,,,,1981590391,journals/pvldb/KopckeTR10,,200,journal-article,,2150-8097,10.14778/1920841.1920904,,1
Kostrzewa_2025_convolutional-neural-networks-land,10.14358/pers.25-00063r2,200,W4413241367,,,,article,0099-1112,404,,,,,,,,200,journal-article,,0099-1112,0099-1112(20251001)91:10L.631;1-,,1
Kou_2020_progressive-domain-adaptation-change,10.3390/rs12223815,200,W3108506664,,,3108506664,article,2072-4292,200,229182540,,,,3108506664,journals/remotesensing/KouFCW20,,200,journal-article,,2072-4292,rs12223815,,1
Kropp_2024_historical-changes-tree-impervious,10.1007/s00267-023-01934-6,200,W4390840997,38217696,,,article,0364-152X,200,266976227,,38217696,,,,,200,journal-article,,0364-152X;1432-1009,1934,,1
Kumar_2019_verified-uncertainty-calibration,10.48550/arxiv.1909.10155,200,W2974098375,,,2974098375,preprint,2331-8422,404,,,,,,,,404,,,,,,
Kwong_2020_tree-height-mapping-crown,10.1080/01431161.2020.1731002,200,W3016256208,,,3016256208,article,0143-1161,200,216463645,,,,3016256208,,,200,journal-article,,0143-1161;1366-5901,10.1080/01431161.2020.1731002,,1
Lahiri_2003_resampling-methods-spatial-data,10.1007/978-1-4757-3803-2_12,200,W2182533099,,,2182533099,book-chapter,0172-7397,200,62512815,,,,2182533099,,,200,book-chapter,9781441918482;9781475738032,0172-7397,,,1
Lahiri_2006_resampling-methods-spatial-regression,10.1214/009053606000000551,200,W1963734153,,,1963734153,article,0090-5364,200,17985064,math/0611261,,,1963734153,,,200,journal-article,,0090-5364,,,1
Lala_2023_paperqa-retrieval-augmented-generative,10.48550/arxiv.2312.07559,200,W4389761608,,,,preprint,2331-8422,200,266191420,2312.07559,,,,journals/corr/abs-2312-07559,,404,,,,,,
Lang_2023_high-resolution-canopy-height,10.1038/s41559-023-02206-6,200,W4387141420,37770546,,,article,2397-334X,200,248227615,2204.08322,37770546,10627820,,journals/corr/abs-2204-08322,,200,journal-article,,2397-334X,2206,,1
Lasko_2026_winter-tree-terrain-shadow,10.1016/j.ecoinf.2026.103809,200,W7160953220,,,,article,1574-9541,200,288206485,,,,,journals/ecoi/LaskoPG26,,200,journal-article,,1574-9541,S1574954126002153,,1
Laurance_1998_rain-forest-fragmentation-dynamics,10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2,200,W2159497329,,,2159497329,article,0012-9658,400,,,,,,,,200,journal-article,,0012-9658,10.1890/0012-9658(1998)079[2032:RFFATD]2.0.CO;2,,1
Laurance_2011_fate-amazonian-forest-fragments,10.1016/j.biocon.2010.09.021,200,W2127657748,,,2127657748,article,0006-3207,200,26810626,,,,2127657748,,,200,journal-article,,0006-3207,S0006320710004209,has-review,1
Lee_2014_deeply-supervised-nets,10.48550/arxiv.1409.5185,200,W2168894214,,,2168894214,preprint,2331-8422,404,,,,,,,,404,,,,,,
LeFolgoc_2017_quantifying-registration-uncertainty-sparse,10.1109/tmi.2016.2623608,200,W2548353158,27831863,,2548353158,article,0278-0062,200,16736975,,27831863,,2548353158,journals/tmi/FolgocDCA17,,200,journal-article,,0278-0062;1558-254X,,,1
Leung_1997_point-polygon-analysis-certainty,10.1023/a:1009764319102,200,W1543677969,,,1543677969,article,1384-6175,200,36099062,,,,1543677969,journals/geoinformatica/LeungY97,,200,journal-article,,1384-6175;1573-7624,131783,,1
Leung_1998_locational-error-model-spatial,10.1080/136588198241699,200,W2005038495,,,2005038495,article,0269-3798,200,30753878,,,,2005038495,journals/gis/LeungY98,,200,journal-article,,1365-8816;1362-3087,10.1080/136588198241699,,1
Leung_2004_general-framework-error-analysis,10.1007/s10109-004-0142-3,200,W2093697252,,,2093697252,article,1435-5930,200,38926157,,,,2093697252,journals/jgs/LeungMG04a,,200,journal-article,,1435-5930;1435-5949,142,,1
Leung_2004a_general-framework-error-analysis,10.1007/s10109-004-0144-1,200,W2036583159,,,2036583159,article,1435-5930,200,42588927,,,,2036583159,journals/jgs/LeungMG04c,,200,journal-article,,1435-5930;1435-5949,144,,1
Li_2018_adaptive-batch-normalization-practical,10.1016/j.patcog.2018.03.005,200,W2793888044,,,2793888044,article,0031-3203,200,13695858,,,,2793888044,journals/pr/LiWSHL18,,200,journal-article,,0031-3203,S003132031830092X,,1
Li_2019_improving-lidar-classification-accuracy,10.1016/j.isprsjprs.2018.11.022,200,W2905401975,,,2905401975,article,0924-2716,200,126079122,,,,2905401975,,,200,journal-article,,0924-2716,S0924271618303241,,1
Li_2022_identification-undocumented-buildings-cadastral,10.1016/j.jag.2022.102909,200,W4289526352,,,,article,0303-2434,200,251298855,,,,,journals/aeog/LiTSARGKZ22,,200,journal-article,,1569-8432,S156984322200111X,,1
Li_2025_adapting-cross-sensor-high,10.3390/rs17050927,200,W4408219636,,,,article,2072-4292,200,276817475,,,,,,,200,journal-article,,2072-4292,rs17050927,,1
Li_2025_post-processing-optimization-global,10.3390/rs17091558,200,W4409868878,,,,article,2072-4292,200,278197508,,,,,,,200,journal-article,,2072-4292,rs17091558,,1
Li_2026_alcc-temporally-consistent-annual,10.34133/remotesensing.1029,200,W7124715802,,,,article,2097-0064,200,284892672,,,,,,,200,journal-article,,2694-1589,10.34133/remotesensing.1029,,1
Liang_2024_single-domain-generalization-method,10.1109/tgrs.2024.3379669,200,W4392980197,,,,article,0196-2892,200,268571333,,,,,journals/tgrs/LiangLDF24,,200,journal-article,,0196-2892;1558-0644,,,1
Likowski_2022_misconv-convolutional-neural-networks,10.1109/wacv51458.2022.00297,200,W4213095156,,,,conference-paper,,200,239998507,2110.14010,,,,conf/wacv/Przewiezlikowski22,,200,proceedings-article,,,,,1
Linacre_2022_splink-free-software-probabilistic,10.23889/ijpds.v7i3.1794,200,W4294243456,,,,article,2399-4908,404,,,,,,,,200,journal-article,,2399-4908,,,1
Liu_2008_local-transition-probability-models,10.1016/j.rse.2007.10.002,200,W2087120756,,,2087120756,article,0034-4257,200,16236757,,,,2087120756,,,200,journal-article,,0034-4257,S0034425707004476,,1
Liu_2009_effects-different-classification-models,10.1080/01431160903131018,200,W2015335667,,,2015335667,article,0143-1161,200,129716379,,,,2015335667,,,200,journal-article,,0143-1161;1366-5901,10.1080/01431160903131018,,1
Liu_2012_spatial-temporal-modeling-approach,10.1080/00045608.2011.596357,200,W1997980023,,,1997980023,article,0004-5608,200,12663391,,,,1997980023,,,200,journal-article,,0004-5608;1467-8306,10.1080/00045608.2011.596357,,1
Liu_2018_image-inpainting-irregular-holes,10.1007/978-3-030-01252-6_6,200,W2798365772,,,2798365772,conference-paper,0302-9743,200,5035107,1804.07723,,,2798365772,conf/eccv/LiuRSWTC18,,200,book-chapter,9783030012519;9783030012526,0302-9743;1611-3349,,,1
Liu_2019_misregistration-tolerant-change-detection,10.1145/3347146.3359068,200,W2984510965,,,2984510965,conference-paper,,200,208016912,,,,2984510965,conf/gis/LiuYL19,,200,proceedings-article,,,10.1145/3347146.3359068;10.1145/3347146,,1
Liu_2021_change-detection-deep-learning,10.1016/j.rse.2021.112308,200,W3023168652,,,3023168652,article,0034-4257,200,226787847,,,,3023168652,,,200,journal-article,,0034-4257,S0034425721000262,,1
Liu_2021_spatial-temporal-hidden-markov,10.1109/access.2021.3080926,200,W3163328448,,,3163328448,article,2169-3536,200,235235404,,,,,journals/access/LiuSLX21,,200,journal-article,,2169-3536,,,1
Liu_2023_very-high-resolution-images,10.3390/rs15020519,200,W4316664561,,,,article,2072-4292,200,255964183,,,,,journals/remotesensing/LiuZCLZWHQ23,,200,journal-article,,2072-4292,rs15020519,,1
Liu_2024_task-specific-pretraining-noisy,10.48550/arxiv.2402.16164,200,W4392222047,,,,preprint,2331-8422,404,,,,,,,,404,,,,,,
Liu_2026_geoai-machine-learning-tools,10.1007/s10980-026-02358-3,200,W7155632576,42273163,,,article,0921-2973,200,287805565,,42273163,13246944,,,,200,journal-article,,1572-9761,2358,has-preprint,1
Locke_2025_sub-parcel-scale-analysis,10.1016/j.landurbplan.2024.105187,200,W4402869683,,,,article,0169-2046,200,272951920,,,,,,,200,journal-article,,0169-2046,S0169204624001865,,1
LPVSubgroup_2025_land-cover-change-accuracy-protocol,10.5067/doc/ceoswgcv/lpv/lc.001,200,W6967016427,,,,report,2663-3027,404,,,,,,,,404,,,,,,
Lu_1999_control-charts-monitoring-mean,10.1080/00224065.1999.11979925,200,W121342495,,,121342495,article,0022-4065,200,117595958,,,,121342495,,,200,journal-article,,0022-4065;2575-6230,10.1080/00224065.1999.11979925,,1
Lu_2001_cusum-charts-monitoring-autocorrelated,10.1080/00224065.2001.11980082,200,W2087150748,,,2087150748,article,0022-4065,200,123587237,,,,2087150748,,,200,journal-article,,0022-4065;2575-6230,10.1080/00224065.2001.11980082,,1
Lu_2024_optimization-model-selection-domain,10.1137/1.9781611978032.28,200,W4394717815,,,,conference-paper,,404,,,,,,,,200,book-chapter,9781611978032,,10.1137/1.9781611978032.28;10.1137/1.9781611978032,,1
Lu_2026_conformal-prediction-sets-instance,10.48550/arxiv.2602.10045,200,W7128609989,,,,preprint,2331-8422,200,285462434,2602.10045,,,,journals/corr/abs-2602-10045,,404,,,,,,
Lucas_1982_fast-initial-response-cusum,10.1080/00401706.1982.10487759,200,W4231783271,,,,article,0040-1706,404,,,,,,,,200,journal-article,,0040-1706;1537-2723,10.1080/00401706.1982.10487759,,1
Luo_2025_domain-generalization-semantic-segmentation,10.1016/j.isprsjprs.2025.09.004,200,W7082400430,,,,article,0924-2716,200,281426292,,,,,,,200,journal-article,,0924-2716,S0924271625003569,,1
Ma_2021_multi-task-deep-supervision,10.3389/fonc.2021.704850,200,W3201038330,34604039,,3201038330,article,2234-943X,200,237538837,,34604039,8484917,,,,200,journal-article,,2234-943X,10.3389/fonc.2021.704850,,1
MacFaden_2012_high-resolution-tree-canopy,10.1117/1.jrs.6.063567,200,W1967113280,,,1967113280,article,1931-3195,200,119749519,,,,1967113280,,,200,journal-article,,1931-3195,,,1
Maclaurin_2016_temporal-replication-national-land,10.1080/15481603.2016.1235009,200,W2521373447,,,2521373447,article,1548-1603,200,133438336,,,,2521373447,,,200,journal-article,,1548-1603;1943-7226,10.1080/15481603.2016.1235009,,1
Madani_2026_morphing-through-time-diffusion,10.1109/wacv61042.2026.00050,200,W4416190051,,,,conference-paper,,200,282921937,2511.07976,,,,journals/corr/abs-2511-07976,,200,proceedings-article,,,,,1
Mahoney_2023_assessing-performance-spatial-cross,10.48550/arxiv.2303.07334,200,W4324299607,,,,preprint,2331-8422,404,,,,,,,,404,,,,,,
MaiaPolo_2022_effective-sample-size-dimensionality,10.1007/s00521-021-06615-1,200,W3190688280,,,3190688280,article,0941-0643,200,236966016,2010.01184,,,,journals/nca/PoloV23,,200,journal-article,,0941-0643;1433-3058,6615,,1
Maiti_2022_effect-label-noise-semantic,10.5194/isprs-annals-v-2-2022-275-2022,200,W4280567741,,,,article,2194-9042,200,248906755,,,,,,,200,journal-article,,2194-9050,,,1
Majasalmi_2021_representation-tree-cover-global,10.1007/s10661-021-08898-2,200,W3127893327,33576910,,3127893327,article,0167-6369,200,231887313,,33576910,7880955,,,,200,journal-article,,0167-6369;1573-2959,8898,,1
Mandilaras_2021_reproducible-experiments-three-dimensional,10.1016/j.is.2021.101830,200,W3173874612,,,3173874612,article,0306-4379,200,279077290,,,,,journals/is/Mandilaras0GSTG21,,200,journal-article,,0306-4379,S0306437921000685,,1
Maragos_1989_pattern-spectrum-multiscale-shape,10.1109/34.192465,200,W2076035429,,,2076035429,article,0162-8828,200,267878246,,,,2076035429,journals/pami/Maragos89a,,200,journal-article,,0162-8828;2160-9292;1939-3539,,,1
Marsan_2008_extending-earthquakes-reach-through,10.1126/science.1148783,200,W2071778976,18292339,,2071778976,article,0036-8075,200,34650031,,18292339,,2071778976,,,200,journal-article,,0036-8075;1095-9203,10.1126/science.1148783,,1
Martinis_2010_hierarchical-spatio-temporal-markov,10.3390/rs2092240,200,W1989563777,,,1989563777,article,2072-4292,200,5754457,,,,1989563777,journals/remotesensing/MartinisT10,,200,journal-article,,2072-4292,rs2092240,,1
Mas_2017_land-use-land-cover,10.1080/22797254.2017.1387505,200,W2764259642,,,2764259642,article,2279-7254,200,125921036,,,,2764259642,,,200,journal-article,,2279-7254,10.1080/22797254.2017.1387505,,1
Mboga_2020_fully-convolutional-networks-land,10.1016/j.isprsjprs.2020.07.005,200,W3047158728,,,3047158728,article,0924-2716,200,225249266,,,,3047158728,,,200,journal-article,,0924-2716,S0924271620301921,,1
McCombs_2016_accuracy-assessment-noaa-coastal,10.14358/pers.82.9.711,200,W2516742035,,,2516742035,article,0099-1112,200,220444891,,,,2516742035,,,200,journal-article,,0099-1112,0099-1112(20160901)82:9L.711;1-,,1
McRoberts_2018_effects-imperfect-reference-data,10.1016/j.isprsjprs.2018.06.002,200,W2810789567,,,2810789567,article,0924-2716,200,125597696,,,,2810789567,,,200,journal-article,,0924-2716,S0924271618301655,,1
Mei_2010_efficient-scalable-schemes-monitoring,10.1093/biomet/asq010,200,W1971084072,,,1971084072,article,0006-3444,200,120115195,,,,1971084072,,,200,journal-article,,0006-3444;1464-3510,,,1
Melgani_2003_markov-random-field-approach,10.1109/tgrs.2003.817269,200,W2166302761,,,2166302761,article,0196-2892,200,14334697,,,,2166302761,journals/tgrs/MelganiS03,,200,journal-article,,0196-2892,,,1
Merry_2014_urban-tree-cover-change,10.1016/j.cities.2014.06.012,200,W2017869405,,,2017869405,article,0264-2751,200,153774947,,,,2017869405,,,200,journal-article,,0264-2751,S0264275114001000,,1
Mesquita_1999_effect-surrounding-vegetation-edge,10.1016/s0006-3207(99)00086-5,200,W2081066982,,,2081066982,article,0006-3207,200,84991818,,,,2081066982,,,200,journal-article,,0006-3207,S0006320799000865,,1
Meuschke_2023_benchmark-pdf-information-extraction,10.1007/978-3-031-28032-0_31,200,W4323780671,,,,conference-paper,0302-9743,200,257509122,2303.09957,,,,conf/iconference/MeuschkeJSMG23,,200,book-chapter,9783031280313;9783031280320,0302-9743;1611-3349,,,1
Meyer_2008_verification-color-vegetation-indices,10.1016/j.compag.2008.03.009,200,W2128866545,,,2128866545,article,0168-1699,200,56457441,,,,2128866545,,,200,journal-article,,0168-1699,S0168169908001063,,1
Miller_2013_determining-occurrence-dynamics-when,10.1371/journal.pone.0065808,200,W2075426303,23840372,,2075426303,article,1932-6203,200,2955,,23840372,3686827,2075426303,,,200,journal-article,,1932-6203,,,1
Mishra_2022_effect-inspection-error-cusum,10.9734/ajpas/2022/v17i430430,200,W4281788026,,,,article,2582-0230,200,249222820,,,,,,,200,journal-article,,2582-0230,,,1
Mobsite_2026_enhancing-land-cover-semantic,10.1016/j.aiig.2026.100222,200,W7160442209,,,,article,2666-5441,200,288025556,,,,,,,200,journal-article,,2666-5441,S2666544126000389,,1
Moghimi_2022_automatic-relative-radiometric-normalization,10.3390/rs14081777,200,W4224255026,,,,article,2072-4292,200,248056761,,,,,journals/remotesensing/MoghimiMCBA22,,200,journal-article,,2072-4292,rs14081777,correction,1
Montgomery_1991_some-statistical-process-control,10.1080/00224065.1991.11979321,200,W1585261948,,,1585261948,article,0022-4065,200,118129913,,,,1585261948,,,200,journal-article,,0022-4065;2575-6230,10.1080/00224065.1991.11979321,,1
