id,bib_block,round,authors,year,title,venue,doi,other_dois,arxiv,grade,read_status,filed_stem,txt_on_disk,pdf_on_disk,multi_work_line,source_line,superseded_by_id,best_grade_for_work
53,§4.4 — deep supervision and resolution,,"Lee, C.Y., Xie, S., Gallagher, P., Zhang, Z. & Tu, Z.",2015,Deeply-Supervised Nets,AISTATS,,,,ABSTRACT,obtained-unread,Lee_2015_deeply-supervised-nets,yes,,,"Lee, C.Y., Xie, S., Gallagher, P., Zhang, Z. & Tu, Z. (2015). Deeply-Supervised Nets. *AISTATS*, PMLR 38 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Lee_2015_deeply-supervised-nets`.**",,ABSTRACT
54,§4.4 — deep supervision and resolution,,"Ma, S., Tang, J. & Guo, F.",2021,Multi-Task Deep Supervision on Attention R2U-Net for Brain Tumor Segmentation,Frontiers in Oncology,10.3389/fonc.2021.704850,,,PRIMARY,,,no,,,"Ma, S., Tang, J. & Guo, F. (2021). Multi-Task Deep Supervision on Attention R2U-Net for Brain Tumor Segmentation. *Frontiers in Oncology* 11:704850. doi:10.3389/fonc.2021.704850 — **PRIMARY**",,PRIMARY
55,§4.4 — deep supervision and resolution,,"Mobsite, S., Hostache, R., Berti-Équille, L., Roux, E., Catry, T. & Guérin, J.",2026,Enhancing land cover semantic segmentation with convolutional block attention modules and deep supervision,Artificial Intelligence in Geosciences,10.1016/j.aiig.2026.100222,,,METADATA,,,no,,,"Mobsite, S., Hostache, R., Berti-Équille, L., Roux, E., Catry, T. & Guérin, J. (2026). Enhancing land cover semantic segmentation with convolutional block attention modules and deep supervision. *Artificial Intelligence in Geosciences* 7:100222. doi:10.1016/j.aiig.2026.100222 — **METADATA** (numbers",,METADATA
56,§4.4 — deep supervision and resolution,,"Touvron, H., Vedaldi, A., Douze, M. & Jégou, H.",2019,Fixing the Train-Test Resolution Discrepancy,NeurIPS 32,,,1906.06423,ABSTRACT,obtained-unread,Touvron_2019_fixing-train-test-resolution,yes,,,"Touvron, H., Vedaldi, A., Douze, M. & Jégou, H. (2019). Fixing the Train-Test Resolution Discrepancy. *NeurIPS 32*; arXiv:1906.06423 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Touvron_etal_2019_Fixing_TrainTes",,ABSTRACT
57,§4.4 — deep supervision and resolution,,"Zhao, H., Shi, J., Qi, X., Wang, X. & Jia, J.",2017,Pyramid Scene Parsing Network,CVPR 2017,10.1109/CVPR.2017.660,,,ABSTRACT,obtained-unread,Zhao_2017_pyramid-scene-parsing-network,yes,,,"Zhao, H., Shi, J., Qi, X., Wang, X. & Jia, J. (2017). Pyramid Scene Parsing Network. *CVPR 2017*. doi:10.1109/CVPR.2017.660 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Zhao_etal_2017_Pyramid_Scene_Parsing_Netwo",,ABSTRACT
58,§2.4 — accuracy assessment for rare change,,"Foody, G.M.",2010,Assessing the accuracy of land cover change with imperfect ground reference data,RSE,10.1016/j.rse.2010.05.003,,,ABSTRACT,,,yes,,,"Foody, G.M. (2010). Assessing the accuracy of land cover change with imperfect ground reference data. *RSE* 114. doi:10.1016/j.rse.2010.05.003 — **ABSTRACT**",279,PRIMARY
59,§2.4 — accuracy assessment for rare change,,"Olofsson, P., Foody, G.M., Stehman, S.V. & Woodcock, C.E.",2013,Making better use of accuracy data in land change studies,RSE,10.1016/j.rse.2012.10.031,,,METADATA,obtained-unread,Olofsson_2013_making-better-use-accuracy-data,yes,,,"Olofsson, P., Foody, G.M., Stehman, S.V. & Woodcock, C.E. (2013). Making better use of accuracy data in land change studies. *RSE* 129. doi:10.1016/j.rse.2012.10.031 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `",,METADATA
60,§2.4 — accuracy assessment for rare change,,"Olofsson, P., Foody, G.M., Herold, M., Stehman, S.V., Woodcock, C.E. & Wulder, M.A.",2014,Good practices for estimating area and assessing accuracy of land change,RSE,10.1016/j.rse.2014.02.015,,,PRIMARY,,,no,,,"Olofsson, P., Foody, G.M., Herold, M., Stehman, S.V., Woodcock, C.E. & Wulder, M.A. (2014). Good practices for estimating area and assessing accuracy of land change. *RSE* 148. doi:10.1016/j.rse.2014.02.015 — **PRIMARY**",,PRIMARY
61,§2.4 — accuracy assessment for rare change,,"Radoux, J. & Bogaert, P.",2020,About the Pitfall of Erroneous Validation Data in the Estimation of Confusion Matrices,Remote Sensing,10.3390/rs12244128,,,ABSTRACT,obtained-unread,Radoux_2020b_about-pitfall-erroneous-validation,yes,,,"Radoux, J. & Bogaert, P. (2020). About the Pitfall of Erroneous Validation Data in the Estimation of Confusion Matrices. *Remote Sensing* 12(24):4128. doi:10.3390/rs12244128 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read.",,ABSTRACT
62,§2.4 — accuracy assessment for rare change,,"Radoux, J., Waldner, F. & Bogaert, P.",2020,How Response Designs and Class Proportions Affect the Accuracy of Validation Data,Remote Sensing,10.3390/rs12020257,,,ABSTRACT,obtained-unread,Radoux_2020a_how-response-designs-class-proportions,yes,,,"Radoux, J., Waldner, F. & Bogaert, P. (2020). How Response Designs and Class Proportions Affect the Accuracy of Validation Data. *Remote Sensing* 12(2):257. doi:10.3390/rs12020257 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until",,ABSTRACT
63,§2.4 — accuracy assessment for rare change,,"Stehman, S.V. & Czaplewski, R.L.",1998,Design and Analysis for Thematic Map Accuracy Assessment,RSE,10.1016/S0034-4257(98,,,METADATA,obtained-unread,Stehman_1998_design-analysis-thematic-map-accuracy,yes,,,"Stehman, S.V. & Czaplewski, R.L. (1998). Design and Analysis for Thematic Map Accuracy Assessment. *RSE* 64. doi:10.1016/S0034-4257(98)00010-8 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Stehman_Czaplewski_1998",,METADATA
64,§2.4 — accuracy assessment for rare change,,"Stehman, S.V. & Foody, G.M.",2019,Key issues in rigorous accuracy assessment of land cover products,RSE,10.1016/j.rse.2019.05.018,,,ABSTRACT,obtained-unread,Stehman_2019_key-issues-rigorous-accuracy,yes,,,"Stehman, S.V. & Foody, G.M. (2019). Key issues in rigorous accuracy assessment of land cover products. *RSE* 231:111199. doi:10.1016/j.rse.2019.05.018 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Stehman_Foody_2",,ABSTRACT
65,§2.4 — accuracy assessment for rare change,,"Stehman, S.V. & Wagner, J.E.",2024,Choosing a sample size allocation to strata based on trade-offs in precision when estimating accuracy and area of a rare class,RSE,10.1016/j.rse.2023.113881,,,,,,no,,,"Stehman, S.V. & Wagner, J.E. (2024). Choosing a sample size allocation to strata based on trade-offs in precision when estimating accuracy and area of a rare class. *RSE* 300:113881. doi:10.1016/j.rse.2023.113881 — **PRIMARY ⚠ NUMBERS**",,
66,"§1 — heterogeneous archives, shadow and rooftop error",,"Blackman, R. & Yuan, F.",2020,Detecting Long-Term Urban Forest Cover Change and Impacts of Natural Disasters,Remote Sensing,10.3390/rs12111820,,,ABSTRACT,obtained-unread,Blackman_2020_detecting-long-term-urban-forest,yes,,,"Blackman, R. & Yuan, F. (2020). Detecting Long-Term Urban Forest Cover Change and Impacts of Natural Disasters. *Remote Sensing* 12(11):1820. doi:10.3390/rs12111820 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `B",,ABSTRACT
67,"§1 — heterogeneous archives, shadow and rooftop error",,"Coupland, K., Hamilton, D. & Griess, V.C.",2022,Combining aerial photos and LiDAR data to detect canopy cover change in urban forests,PLOS ONE,10.1371/journal.pone.0273487,,,PRIMARY,,,no,,,"Coupland, K., Hamilton, D. & Griess, V.C. (2022). Combining aerial photos and LiDAR data to detect canopy cover change in urban forests. *PLOS ONE*. doi:10.1371/journal.pone.0273487 — **PRIMARY**",,PRIMARY
68,"§1 — heterogeneous archives, shadow and rooftop error",,"MacFaden, S.W., O'Neil-Dunne, J.P.M., Royar, A.R., Lu, J.W.T. & Rundle, A.G.",2012,High-resolution tree canopy mapping for New York City using LIDAR and object-based image analysis,JARS,10.1117/1.JRS.6.063567,,,ABSTRACT,obtained-unread,MacFaden_2012_high-resolution-tree-canopy-mapping,yes,,,"MacFaden, S.W., O'Neil-Dunne, J.P.M., Royar, A.R., Lu, J.W.T. & Rundle, A.G. (2012). High-resolution tree canopy mapping for New York City using LIDAR and object-based image analysis. *JARS* 6:063567. doi:10.1117/1.JRS.6.063567 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified",,ABSTRACT
69,"§1 — heterogeneous archives, shadow and rooftop error",,"Nowak, D.J. & Greenfield, E.J.",2012,Tree and impervious cover change in U.S,,10.1016/j.ufug.2011.11.005,,,ABSTRACT,obtained-unread,Nowak_2012_tree-impervious-cover-change-u,yes,,,"Nowak, D.J. & Greenfield, E.J. (2012). Tree and impervious cover change in U.S. cities. *UFUG*. doi:10.1016/j.ufug.2011.11.005 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Nowak_Greenfield_2012_tree_impervious_c",,ABSTRACT
70,"§1 — heterogeneous archives, shadow and rooftop error",,"O'Neil-Dunne, J.P.M., MacFaden, S.W. & Royar, A.R.",2014,"A Versatile, Production-Oriented Approach to High-Resolution Tree-Canopy Mapping",Remote Sensing,10.3390/rs61212837,,,ABSTRACT,obtained-unread,ONeilDunne_2014_versatile-production-oriented,yes,,,"O'Neil-Dunne, J.P.M., MacFaden, S.W. & Royar, A.R. (2014). A Versatile, Production-Oriented Approach to High-Resolution Tree-Canopy Mapping. *Remote Sensing* 6(12). doi:10.3390/rs61212837 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchang",,ABSTRACT
71,"§1 — heterogeneous archives, shadow and rooftop error",,"Pedley, D. & Morgenroth, J.",2025,Detecting and measuring fine-scale urban tree canopy loss with deep learning and remote sensing,ISPRS Open J. Photogramm. Remote Sens.,10.1016/j.ophoto.2025.100082,,,PRIMARY,,,no,,,"Pedley, D. & Morgenroth, J. (2025). Detecting and measuring fine-scale urban tree canopy loss with deep learning and remote sensing. *ISPRS Open J. Photogramm. Remote Sens.* **15**:100082. doi:10.1016/j.ophoto.2025.100082 — **PRIMARY** (CC BY, full text read 2026-09-11 — the 0.941/0.811 precision/re",,PRIMARY
72,"§1 — heterogeneous archives, shadow and rooftop error",,"Walton, J.T.",2008,"Difficulties with estimating city-wide urban forest cover change from national, remotely-sensed tree canopy maps",Urban Ecosystems,10.1007/s11252-007-0040-9,,,ABSTRACT,obtained-unread,Walton_2008_difficulties-estimating-city-wide-urban,yes,,,"Walton, J.T. (2008). Difficulties with estimating city-wide urban forest cover change from national, remotely-sensed tree canopy maps. *Urban Ecosystems*. doi:10.1007/s11252-007-0040-9 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged ",,ABSTRACT
73,"§4.5 — layer placement, soft versus hard decisions",,"Câmara, G. et al.",2024,Bayesian Inference for Post-Processing of Remote-Sensing Image Classification,Remote Sensing,10.3390/rs16234572,,,ABSTRACT,obtained-unread,Camara_2024_bayesian-inference-post-processing,yes,,,"Câmara, G. et al. (2024). Bayesian Inference for Post-Processing of Remote-Sensing Image Classification. *Remote Sensing* 16(23):4572. doi:10.3390/rs16234572 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Camara_2",,ABSTRACT
74,"§4.5 — layer placement, soft versus hard decisions",,"Cheng, X. & Liu, H.",2020,A Novel Post-Processing Method Based on a Weighted Composite Filter for Enhancing Semantic Segmentation Results,Sensors,10.3390/s20195500,,,PRIMARY,,,no,,,"Cheng, X. & Liu, H. (2020). A Novel Post-Processing Method Based on a Weighted Composite Filter for Enhancing Semantic Segmentation Results. *Sensors* 20(19):5500. doi:10.3390/s20195500 — **PRIMARY**",,PRIMARY
75,"§4.5 — layer placement, soft versus hard decisions",,"Li, N., Liu, C. & Pfeifer, N.",2019,Improving LiDAR classification accuracy by contextual label smoothing in post-processing,ISPRS J.,10.1016/j.isprsjprs.2018.11.022,,,ABSTRACT,,,no,,,"Li, N., Liu, C. & Pfeifer, N. (2019). Improving LiDAR classification accuracy by contextual label smoothing in post-processing. *ISPRS J.* 148. doi:10.1016/j.isprsjprs.2018.11.022 — **ABSTRACT**",,ABSTRACT
76,"§4.5 — layer placement, soft versus hard decisions",,"Papadopoulos, S., Koukiou, G. & Anastassopoulos, V.",2024,Decision Fusion at Pixel Level of Multi-Band Data for Land Cover Classification — A Review,Journal of Imaging,10.3390/jimaging10010015,,,ABSTRACT,obtained-unread,Papadopoulos_2024_decision-fusion-pixel-level-multi,yes,,,"Papadopoulos, S., Koukiou, G. & Anastassopoulos, V. (2024). Decision Fusion at Pixel Level of Multi-Band Data for Land Cover Classification — A Review. *Journal of Imaging* 10(1):15. doi:10.3390/jimaging10010015 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the ",,ABSTRACT
77,"§4.5 — layer placement, soft versus hard decisions",,"Wu, C., Du, B., Cui, X. & Zhang, L.",2017,A post-classification change detection method based on iterative slow feature analysis and Bayesian soft fusion,RSE,10.1016/j.rse.2017.07.009,,,ABSTRACT,,,no,,,"Wu, C., Du, B., Cui, X. & Zhang, L. (2017). A post-classification change detection method based on iterative slow feature analysis and Bayesian soft fusion. *RSE*. doi:10.1016/j.rse.2017.07.009 — **ABSTRACT**",,ABSTRACT
78,"§6.2 / §6.3 — buildings as ancillary context, and cadastral completeness",,"Abellera, L.V. & Stenstrom, M.K.",2005,Impervious Surface Detection from Satellite Imagery with Knowledge-Based Systems and GIS,Computing in Civil Engineering 2005,10.1061/40794(179,,,,,,no,,,"Abellera, L.V. & Stenstrom, M.K. (2005). Impervious Surface Detection from Satellite Imagery with Knowledge-Based Systems and GIS. *Computing in Civil Engineering 2005* (ASCE). doi:10.1061/40794(179)45 — **METADATA ⚠ NUMBERS**",,
79,"§6.2 / §6.3 — buildings as ancillary context, and cadastral completeness",,"Hecht, R., Meinel, G. & Buchroithner, M.",2015,Automatic identification of building types based on topographic databases — a comparison of different data sources,Int. J. Cartography,10.1080/23729333.2015.1055644,,,,,,no,,,"Hecht, R., Meinel, G. & Buchroithner, M. (2015). Automatic identification of building types based on topographic databases — a comparison of different data sources. *Int. J. Cartography* 1(1). doi:10.1080/23729333.2015.1055644 — **METADATA ⚠ NUMBERS**",,
80,"§6.2 / §6.3 — buildings as ancillary context, and cadastral completeness",,"King, K. & Locke, D.",2013,A Comparison of Three Methods for Measuring Local Urban Tree Canopy Cover,Arboriculture & Urban Forestry,10.48044/jauf.2013.009,,,PRIMARY,,,no,,,"King, K. & Locke, D. (2013). A Comparison of Three Methods for Measuring Local Urban Tree Canopy Cover. *Arboriculture & Urban Forestry* 39(2). doi:10.48044/jauf.2013.009 — **PRIMARY** (full text via USDA Forest Service Treesearch, read 2026-09-11; the canopy-over-roof finding, §4.10 — corrected fro",,PRIMARY
81,"§6.2 / §6.3 — buildings as ancillary context, and cadastral completeness",,"Li, Q., Taubenböck, H., Shi, Y., Auer, S., Roschlaub, R., Glock, C., Kruspe, A. & Zhu, X.X.",2022,Identification of undocumented buildings in cadastral data using remote sensing,IJAEOG,10.1016/j.jag.2022.102909,,,PRIMARY,,,no,,,"Li, Q., Taubenböck, H., Shi, Y., Auer, S., Roschlaub, R., Glock, C., Kruspe, A. & Zhu, X.X. (2022). Identification of undocumented buildings in cadastral data using remote sensing. *IJAEOG* 112:102909. doi:10.1016/j.jag.2022.102909 — **PRIMARY** (full text via DLR mirror elib.dlr.de/187878)",,PRIMARY
82,"§6.2 / §6.3 — buildings as ancillary context, and cadastral completeness",,"Sun, Y., Hua, Y., Mou, L. & Zhu, X.X.",2022,CG-Net: Conditional GIS-Aware Network for Individual Building Segmentation in VHR SAR Images,IEEE TGRS,10.1109/TGRS.2020.3043089,,,ABSTRACT,obtained-unread,Sun_2022_cg-net-conditional-gis-aware,yes,,,"Sun, Y., Hua, Y., Mou, L. & Zhu, X.X. (2022). CG-Net: Conditional GIS-Aware Network for Individual Building Segmentation in VHR SAR Images. *IEEE TGRS*. doi:10.1109/TGRS.2020.3043089 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged un",,ABSTRACT
83,"§6.2 / §6.3 — buildings as ancillary context, and cadastral completeness",,"Yi, S., Li, X., Liu, Y., Dong, X. & Tu, W.",2025,A sub-meter resolution urban surface albedo dataset for 34 U.S,,10.1038/s41597-025-05109-2,,,PRIMARY,,,no,,,"Yi, S., Li, X., Liu, Y., Dong, X. & Tu, W. (2025). A sub-meter resolution urban surface albedo dataset for 34 U.S. cities based on deep learning. *Scientific Data* 12:789. doi:10.1038/s41597-025-05109-2 — **PRIMARY** (the unmeasured hard-veto instance, §4.10)",,PRIMARY
84,Operational products and their consistency claims,,"Li, Z., Zhang, X., Liu, W., Zhao, T., Ai, W., Wang, J. & Liu, L.",2025,Post-Processing Optimization of the Global 30 m Land Cover Dynamic Monitoring Product,Remote Sensing,10.3390/rs17091558,,,PRIMARY,,,no,,,"Li, Z., Zhang, X., Liu, W., Zhao, T., Ai, W., Wang, J. & Liu, L. (2025). Post-Processing Optimization of the Global 30 m Land Cover Dynamic Monitoring Product. *Remote Sensing* 17(9):1558. doi:10.3390/rs17091558 — **PRIMARY** (full text; §4.11 — the change-stratified reporting template, and the sour",,PRIMARY
85,Operational products and their consistency claims,,"Reis, M.S., Dutra, L.V., Escada, M.I.S. & Sant'Anna, S.J.S.",2020,Avoiding Invalid Transitions in Land Cover Trajectory Classification With a Compound Maximum a Posteriori Approach,IEEE Access,10.1109/ACCESS.2020.2997019,,,ABSTRACT,obtained-unread,Reis_2020_avoiding-invalid-transitions-land-cover,yes,,,"Reis, M.S., Dutra, L.V., Escada, M.I.S. & Sant'Anna, S.J.S. (2020). Avoiding Invalid Transitions in Land Cover Trajectory Classification With a Compound Maximum a Posteriori Approach. *IEEE Access* 8. doi:10.1109/ACCESS.2020.2997019 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-ver",,ABSTRACT
86,Operational products and their consistency claims,,"Yang, J. & Huang, X.",2021,The 30 m Annual Land Cover Dataset and Its Dynamics in China from 1990 to 2019 (CLCD),ESSD,10.5194/essd-13-3907-2021,,,,,,no,,,"Yang, J. & Huang, X. (2021). The 30 m Annual Land Cover Dataset and Its Dynamics in China from 1990 to 2019 (CLCD). *ESSD* 13(8). doi:10.5194/essd-13-3907-2021 — **METADATA ⚠ NUMBERS**",,
87,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Strong & Chan,2003,Edge-preserving and scale-dependent properties of total variation regularization,Inverse Problems,10.1088/0266-5611/19/6/059,,,PRIMARY,,,no,,,Strong & Chan (2003). Edge-preserving and scale-dependent properties of total variation regularization. *Inverse Problems* 19(6):S165–S187. doi:10.1088/0266-5611/19/6/059 — **PRIMARY** (UCLA CAM report mirror),,PRIMARY
88,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,"Gräler, Pebesma & Heuvelink",2016,Spatio-Temporal Interpolation using gstat,The R Journal,10.32614/RJ-2016-014,,,PRIMARY,,,no,,,"Gräler, Pebesma & Heuvelink (2016). Spatio-Temporal Interpolation using gstat. *The R Journal* 8(1):204–218. doi:10.32614/RJ-2016-014 — **PRIMARY**",,PRIMARY
89,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Krähenbühl & Koltun,2011,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,NeurIPS 2011,,,1210.5644,PRIMARY,,,no,,,Krähenbühl & Koltun (2011). Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials. *NeurIPS 2011*; arXiv:1210.5644 — **PRIMARY**,,PRIMARY
90,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,"Ross, Tasoulis & Adams",2012,Sequential monitoring of a Bernoulli sequence when the pre-change parameter is unknown,Computational Statistics,10.1007/s00180-012-0311-7,,1212.6020,PRIMARY,,,no,,,"Ross, Tasoulis & Adams (2012). Sequential monitoring of a Bernoulli sequence when the pre-change parameter is unknown. *Computational Statistics* 28(2):463–479. doi:10.1007/s00180-012-0311-7; arXiv:1212.6020 — **PRIMARY**",,PRIMARY
91,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Chen & Yang,2022,A New p-Control Chart with Measurement Error Correction,,,,2203.03384,PRIMARY,,,no,,,Chen & Yang (2022). A New p-Control Chart with Measurement Error Correction. arXiv:2203.03384 — **PRIMARY** (code: `github.com/lchen723/SPC-ME-R-code`),,PRIMARY
92,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Itkin,2026,Quickest Detection of Hallucination Onset,,,,2606.12476,PRIMARY,,,no,,,Itkin (2026). Quickest Detection of Hallucination Onset. arXiv:2606.12476 — **PRIMARY**,,PRIMARY
93,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Sandia National Laboratories,2016,An Introduction to the Bernoulli CUSUM,,,,,PRIMARY,,,no,,,"Sandia National Laboratories (2016). An Introduction to the Bernoulli CUSUM. SAND2016-7395C, OSTI 1374023 — **PRIMARY** (bylined ""Author 1""; corroboration only)",,PRIMARY
94,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Reynolds & Stoumbos,1999,*J,,,,,METADATA,,,yes,,,Reynolds & Stoumbos (1999). *J. Quality Technology* 31:87–108 — **METADATA** (via Ross et al.'s bibliography; the run-length approximation; not fetched),,METADATA
95,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Mishra & Singh,2022,"doi:10.9734/ajpas/2022/v17i430430 — **ABSTRACT**, UNREADABLE (AJPAS 403; truncated negative-binomial inspection-error CUSUM)",,10.9734/ajpas/2022/v17i430430,,,ABSTRACT,,,no,,,"Mishra & Singh (2022). doi:10.9734/ajpas/2022/v17i430430 — **ABSTRACT**, UNREADABLE (AJPAS 403; truncated negative-binomial inspection-error CUSUM)",,ABSTRACT
96,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Chakraborty & Khurshid,2017,"doi:10.12957/cadest.2017.25564 — **ABSTRACT**, UNREADABLE (abstract only served; intervened-Poisson inspection-error CUSUM) **Obtained 2026-09-12 (acquisition p",,10.12957/cadest.2017.25564,,,ABSTRACT,obtained-unread,Chakraborty_2017_effect-misclassification-due,yes,,,"Chakraborty & Khurshid (2017). doi:10.12957/cadest.2017.25564 — **ABSTRACT**, UNREADABLE (abstract only served; intervened-Poisson inspection-error CUSUM) **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Chakraborty_Khurshid_2017_",,ABSTRACT
97,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,"Ramani, Blu & Unser",2008,Monte-Carlo SURE [full title not captured],IEEE Trans. Image Processing,10.1109/tip.2008.2001404,,,PRIMARY,,,no,,,"Ramani, Blu & Unser (2008). Monte-Carlo SURE [full title not captured]. *IEEE Trans. Image Processing* 17(9):1540–1554. doi:10.1109/tip.2008.2001404 — **PRIMARY**",,PRIMARY
98,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Efron,2004,The Estimation of Prediction Error: Covariance Penalties and Cross-Validation,JASA,10.1198/016214504000000692,,,PRIMARY,,,yes,,,Efron (2004). The Estimation of Prediction Error: Covariance Penalties and Cross-Validation. *JASA* 99(467):619–632. doi:10.1198/016214504000000692 — **PRIMARY**,183,PRIMARY
99,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Batson & Royer,2019,Noise2Self,ICML 2019,,,1901.11365,PRIMARY,,,yes,,,"Batson & Royer (2019). Noise2Self. *ICML 2019*, PMLR 97; arXiv:1901.11365 — **PRIMARY**",113,PRIMARY
100,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Chernozhukov et al.,2018,*Econometrics Journal* 21(1):C1–C68,,10.1111/ectj.12097,,,ABSTRACT,obtained-unread,Chernozhukov_2018_double-debiased-machine-learning,yes,,,"Chernozhukov et al. (2018). *Econometrics Journal* 21(1):C1–C68. doi:10.1111/ectj.12097 — **ABSTRACT** (cross-fitting; title not captured) **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Chernozhukov_2018_double-debiased-machine-learning`",,ABSTRACT
101,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,"Kumar, Liang & Ma",2019,Verified Uncertainty Calibration,NeurIPS 2019,,,1909.10155,PRIMARY,,,no,,,"Kumar, Liang & Ma (2019). Verified Uncertainty Calibration. *NeurIPS 2019*; arXiv:1909.10155 — **PRIMARY**",,PRIMARY
102,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,,,"Sussner, Nachtegael, Mélange, Deschrijver, Esmi & Kerre",,10.1007/s10851-011-0283-1,,,PRIMARY,,,no,,,"Sussner, Nachtegael, Mélange, Deschrijver, Esmi & Kerre. Interval-Valued and Intuitionistic Fuzzy Mathematical Morphologies as Special Cases of L-Fuzzy Mathematical Morphology. *J. Math. Imaging Vis.* doi:10.1007/s10851-011-0283-1 — **PRIMARY** (year not captured; DOI resolves)",,PRIMARY
103,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,"Liu, Reda, Shih, Wang, Tao & Catanzaro",2018,Image Inpainting for Irregular Holes Using Partial Convolutions,,10.1007/978-3-030-01252-6_6,,1804.07723,PRIMARY,,,no,,,"Liu, Reda, Shih, Wang, Tao & Catanzaro (2018). Image Inpainting for Irregular Holes Using Partial Convolutions. arXiv:1804.07723v2; doi:10.1007/978-3-030-01252-6_6 — **PRIMARY**",,PRIMARY
104,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Appel,2022,Efficient Data-Driven Gap Filling of Satellite Image Time Series Using Deep Neural Networks with Partial Convolutions,,10.1175/AIES-D-22-0055.1,,2208.08781,PRIMARY,,,no,,,Appel (2022). Efficient Data-Driven Gap Filling of Satellite Image Time Series Using Deep Neural Networks with Partial Convolutions. arXiv:2208.08781; *Artif. Intell. Earth Syst.* doi:10.1175/AIES-D-22-0055.1 — **PRIMARY**,,PRIMARY
105,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,"Sinopoli, Schenato, Franceschetti, Poolla, Jordan & Sastry",2004,Kalman Filtering With Intermittent Observations,IEEE Trans. Automatic Control,10.1109/TAC.2004.834121,,,PRIMARY,,,no,,,"Sinopoli, Schenato, Franceschetti, Poolla, Jordan & Sastry (2004). Kalman Filtering With Intermittent Observations. *IEEE Trans. Automatic Control* 49(9):1453–1464. doi:10.1109/TAC.2004.834121 — **PRIMARY** (Crossref-verified; text quoted from the Berkeley preprint, self-labelled DRAFT)",,PRIMARY
106,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Przewiezlikowski et al.,2022,MisConv,WACV 2022,,,,PRIMARY,,,no,,,Przewiezlikowski et al. (2022). MisConv. *WACV 2022* — **PRIMARY** (read; rejected — imputes),,PRIMARY
